,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
sitting on,0.0,0.5286956521716144,0.0,0.003913043478243857,0.0,0.09304347826046504,0.009999999999956523,0.0008695652173875236,0.0013043478260812854,0.0026086956521625708,0.0,0.3369565217376655,0.0,0.0004347826086937618,0.01695652173905671,0.0,0.0021739130434688093,0.001739130434775047,0.0,0.0004347826086937618,0.0,0.0,0.0,0.0,0.0008695652173875236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wears,0.0,0.009040034438187516,0.009040034438187516,0.975462763663472,0.0,0.0012914334911696451,0.0004304778303898817,0.0021523891519494086,0.0,0.0012914334911696451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012914334911696451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
under,0.0,0.27272727272567315,0.034017595307718376,0.0,0.036950146627349266,0.017008797653859188,0.1436950146619138,0.03519061583557073,0.031085043988087476,0.10087976539530276,0.0017595307917785367,0.0,0.0,0.3079178885612439,0.0011730205278523576,0.0046920821114094305,0.0,0.004105571847483252,0.0,0.0,0.0,0.0005865102639261788,0.0,0.006451612903187968,0.0,0.0,0.0,0.0,0.0,0.0005865102639261788,0.0005865102639261788,0.0005865102639261788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
riding,0.0,0.5633314054334105,0.0,0.0034702139965097157,0.0,0.006362058993601145,0.0017351069982548578,0.001156737998836572,0.000578368999418286,0.002313475997673144,0.0,0.0,0.0,0.0,0.4210526315765122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in front of,0.0,0.2014106583056316,0.007053291535994881,0.0,0.011755485893324803,0.037617554858639365,0.4568965517205573,0.010971786833769814,0.11050156739725313,0.014106583071989762,0.0015673981191099734,0.0023510971786649603,0.0,0.02194357366753963,0.0023510971786649603,0.09874608150392833,0.0,0.007836990595549867,0.0,0.0,0.0,0.0,0.0,0.004702194357329921,0.003134796238219947,0.0015673981191099734,0.0,0.0,0.0,0.003134796238219947,0.0,0.0,0.0023510971786649603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standing on,0.0,0.68346344924994,0.016323633782708846,0.012775017742989532,0.0,0.14194464158877257,0.031227821149529968,0.0,0.0028388928317754514,0.005677785663550903,0.0,0.006387508871494766,0.0,0.0,0.009936124911214081,0.0007097232079438629,0.059616749467284486,0.0,0.0,0.0,0.026969481901866786,0.0007097232079438629,0.0,0.0,0.0,0.0007097232079438629,0.0,0.0,0.0,0.0007097232079438629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
at,0.0,0.3164218958569236,0.013351134846283697,0.0013351134846283697,0.0,0.03471295060033761,0.19092122830185687,0.0,0.006675567423141848,0.008010680907770218,0.0,0.012016021361655327,0.0,0.0026702269692567395,0.0,0.0013351134846283697,0.0,0.40987983978090947,0.0,0.0,0.0013351134846283697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013351134846283697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attached to,0.0,0.7661097851937219,0.007159904534520764,0.0,0.17661097851817886,0.007159904534520764,0.013126491646621403,0.007159904534520764,0.00477326968968051,0.00954653937936102,0.0011933174224201275,0.0,0.0,0.002386634844840255,0.0,0.0,0.0,0.0,0.00477326968968051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrying,0.0,0.06404657932948986,0.0363901018917556,0.039301310043096054,0.0,0.0,0.011644832605361793,0.016011644832372465,0.00727802037835112,0.5152838427872594,0.0,0.002911208151340448,0.0,0.00727802037835112,0.002911208151340448,0.0,0.0,0.0,0.0,0.29694323143672574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
walking on,0.0,0.8225308641848375,0.006172839506077579,0.0,0.0015432098765193949,0.016975308641713344,0.0030864197530387897,0.0,0.0,0.0,0.0,0.0,0.0,0.0015432098765193949,0.0,0.0,0.0015432098765193949,0.0,0.0,0.0,0.1466049382693425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
