,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
above,0.0,0.33207705192490755,0.0004187604690099717,0.0004187604690099717,0.015075376884358982,0.025963149078618245,0.02470686767158833,0.0020938023450498586,0.036013400334857566,0.0016750418760398868,0.23743718592865395,0.030150753768717963,0.0,0.006281407035149575,0.037688442210897455,0.005862646566139604,0.023031825795548445,0.002931323283069802,0.007537688442179491,0.0004187604690099717,0.0012562814070299153,0.06155778894446584,0.0008375209380199434,0.0037688442210897454,0.0016750418760398868,0.0008375209380199434,0.008793969849209406,0.010050251256239323,0.021356783919508557,0.0033500837520797737,0.0012562814070299153,0.013400335008319095,0.0008375209380199434,0.0020938023450498586,0.006281407035149575,0.004606365159109688,0.0004187604690099717,0.012981574539309123,0.005025125628119661,0.0004187604690099717,0.005443886097129632,0.005862646566139604,0.0033500837520797737,0.0004187604690099717,0.01214405360128918,0.008375209380199434,0.0020938023450498586,0.0016750418760398868,0.0,0.010050251256239323,0.0
sitting on,0.0,0.14608695652110398,0.0,0.0030434782608563327,0.0,0.06739130434753308,0.0056521739130189035,0.0004347826086937618,0.0043478260869376185,0.0021739130434688093,0.046956521738926275,0.5047826086934575,0.0004347826086937618,0.001739130434775047,0.07956521739095841,0.0030434782608563327,0.042173913043294896,0.015652173912975426,0.0004347826086937618,0.0008695652173875236,0.006956521739100188,0.0,0.0,0.0,0.0043478260869376185,0.0021739130434688093,0.0008695652173875236,0.0013043478260812854,0.03565217391288847,0.0,0.0026086956521625708,0.0004347826086937618,0.0008695652173875236,0.0,0.003913043478243857,0.0008695652173875236,0.0,0.006521739130406427,0.0008695652173875236,0.0004347826086937618,0.0,0.0056521739130189035,0.0,0.0004347826086937618,0.0,0.0,0.0,0.0004347826086937618,0.0004347826086937618,0.0,0.0004347826086937618
wears,0.0,0.0030133448127291716,0.0073181231166279895,0.9586741282782666,0.0,0.0017219113215595269,0.0,0.0017219113215595269,0.0004304778303898817,0.0021523891519494086,0.0,0.0,0.014205768402866097,0.0,0.0004304778303898817,0.0,0.0030133448127291716,0.0,0.0,0.0025828669823392903,0.0004304778303898817,0.0004304778303898817,0.0,0.0,0.0,0.0004304778303898817,0.0,0.0,0.0,0.0,0.0012914334911696451,0.0,0.0004304778303898817,0.0,0.0,0.0,0.0,0.0004304778303898817,0.0,0.0,0.0,0.0,0.0004304778303898817,0.0,0.0004304778303898817,0.0,0.0,0.0,0.0004304778303898817,0.0,0.0
under,0.0,0.08621700879714829,0.006451612903187968,0.0,0.028152492668456586,0.014662756598154471,0.049266862169799024,0.03577712609949691,0.018181818181711544,0.05806451612869171,0.00527859237533561,0.0011730205278523576,0.0,0.48563049853087603,0.0023460410557047152,0.02111436950134244,0.0,0.02170087976526862,0.00527859237533561,0.022873900293120975,0.0,0.0011730205278523576,0.0005865102639261788,0.034604105571644554,0.00527859237533561,0.00527859237533561,0.00527859237533561,0.0,0.016422287389933007,0.00527859237533561,0.00527859237533561,0.0035190615835570733,0.0,0.0017595307917785367,0.0011730205278523576,0.0017595307917785367,0.0029325513196308945,0.0046920821114094305,0.0011730205278523576,0.0035190615835570733,0.0035190615835570733,0.0,0.0005865102639261788,0.0017595307917785367,0.01524926686208065,0.0023460410557047152,0.0005865102639261788,0.005865102639261789,0.0005865102639261788,0.0046920821114094305,0.0029325513196308945
riding,0.0,0.02544823597440458,0.0,0.0034702139965097157,0.0,0.006940427993019431,0.0017351069982548578,0.0,0.0,0.0034702139965097157,0.001156737998836572,0.012145748987784004,0.0,0.0,0.8872180451076506,0.0,0.045691150954044586,0.0,0.0,0.002313475997673144,0.000578368999418286,0.0,0.0,0.0,0.002313475997673144,0.002313475997673144,0.0,0.0,0.0017351069982548578,0.0,0.0,0.000578368999418286,0.000578368999418286,0.0,0.0,0.0,0.0,0.0,0.001156737998836572,0.0,0.0,0.001156737998836572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in front of,0.0,0.06661442006217387,0.003134796238219947,0.0,0.018808777429319683,0.027429467084424536,0.1959247648887467,0.005485893416884907,0.10344827586125825,0.008620689655104855,0.010971786833769814,0.003918495297774933,0.0,0.04702194357329921,0.003918495297774933,0.32993730407264943,0.007836990595549867,0.03369905956086443,0.009404388714659841,0.0015673981191099734,0.0007836990595549867,0.005485893416884907,0.0,0.020376175548429652,0.014890282131544747,0.007053291535994881,0.0023510971786649603,0.0,0.0007836990595549867,0.006269592476439894,0.013322884012434776,0.003918495297774933,0.004702194357329921,0.0007836990595549867,0.0007836990595549867,0.003918495297774933,0.0023510971786649603,0.0015673981191099734,0.004702194357329921,0.004702194357329921,0.0,0.0,0.0,0.008620689655104855,0.0,0.008620689655104855,0.0023510971786649603,0.0,0.0,0.0015673981191099734,0.0023510971786649603
standing on,0.0,0.06103619588317221,0.015613910574764984,0.008516678495326354,0.0,0.07168204400233015,0.02342086586214748,0.0007097232079438629,0.008516678495326354,0.0049680624556070405,0.007806955287382492,0.03335699077336156,0.0,0.0,0.0383250532289686,0.0028388928317754514,0.4151880766471598,0.02271114265420361,0.0,0.004258339247663177,0.15755855216353756,0.0014194464158877257,0.0,0.0,0.005677785663550903,0.0014194464158877257,0.0,0.0014194464158877257,0.007097232079438629,0.0014194464158877257,0.0021291696238315886,0.0,0.0014194464158877257,0.0,0.0,0.0021291696238315886,0.0,0.007806955287382492,0.0,0.0,0.0,0.08303761532943196,0.0,0.0014194464158877257,0.0,0.006387508871494766,0.0,0.0,0.0007097232079438629,0.0,0.0
at,0.0,0.06809078771604685,0.0026702269692567395,0.0,0.0,0.04272363150810783,0.03738317756959435,0.0,0.005340453938513479,0.005340453938513479,0.004005340453885109,0.012016021361655327,0.0,0.020026702269425548,0.0013351134846283697,0.013351134846283697,0.05206942590050642,0.6341789051984755,0.0026702269692567395,0.0,0.03204272363108087,0.0013351134846283697,0.0,0.0,0.0026702269692567395,0.0,0.0013351134846283697,0.009345794392398587,0.008010680907770218,0.0026702269692567395,0.0,0.008010680907770218,0.0013351134846283697,0.0013351134846283697,0.0,0.0026702269692567395,0.0,0.0013351134846283697,0.0,0.004005340453885109,0.0026702269692567395,0.010680907877026958,0.0026702269692567395,0.0026702269692567395,0.0,0.0,0.0,0.0,0.0,0.004005340453885109,0.0
attached to,0.0,0.3472553699242571,0.00477326968968051,0.0,0.23269689737192487,0.0059665871121006376,0.016706443913881784,0.003579952267260382,0.003579952267260382,0.008353221956940892,0.008353221956940892,0.0011933174224201275,0.0,0.00954653937936102,0.0,0.00477326968968051,0.003579952267260382,0.0,0.10143198090571083,0.0011933174224201275,0.0,0.00477326968968051,0.008353221956940892,0.00954653937936102,0.0,0.0,0.04295942720712459,0.0,0.0,0.0,0.0,0.0011933174224201275,0.0,0.007159904534520764,0.0,0.0011933174224201275,0.002386634844840255,0.0,0.026252983293242806,0.015513126491461658,0.09665871121603033,0.0,0.0,0.003579952267260382,0.0011933174224201275,0.003579952267260382,0.015513126491461658,0.0011933174224201275,0.0,0.0059665871121006376,0.0
carrying,0.0,0.008733624454021344,0.008733624454021344,0.02911208151340448,0.0,0.0,0.00727802037835112,0.010189228529691568,0.004366812227010672,0.2241630276532145,0.0,0.001455604075670224,0.0,0.013100436681032017,0.004366812227010672,0.0,0.0,0.0,0.0,0.669577874808303,0.0,0.0,0.0,0.0,0.001455604075670224,0.004366812227010672,0.0,0.0,0.0,0.002911208151340448,0.004366812227010672,0.001455604075670224,0.001455604075670224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001455604075670224,0.0,0.0,0.0,0.0,0.0,0.0,0.001455604075670224,0.0,0.0
walking on,0.0,0.013888888888674556,0.006172839506077579,0.0,0.0015432098765193949,0.00925925925911637,0.0030864197530387897,0.0,0.0,0.0,0.0015432098765193949,0.0015432098765193949,0.0,0.0030864197530387897,0.0,0.0,0.13117283950414857,0.038580246912984874,0.0,0.0,0.6728395061624561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015432098765193949,0.0,0.0,0.0,0.0,0.0015432098765193949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11265432098591582,0.0,0.0,0.0,0.0,0.0015432098765193949,0.0,0.0,0.0,0.0
