,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
above,0.0,0.3366834170840173,0.0012562814070299153,0.0008375209380199434,0.013819095477329067,0.02261306532653847,0.02386934673356839,0.0037688442210897454,0.035175879396837625,0.0016750418760398868,0.2340871021765742,0.028894472361688052,0.0,0.005443886097129632,0.036013400334857566,0.005862646566139604,0.02386934673356839,0.0033500837520797737,0.006700167504159547,0.0004187604690099717,0.0033500837520797737,0.0682579564486254,0.0016750418760398868,0.004187604690099717,0.0016750418760398868,0.0008375209380199434,0.007537688442179491,0.010050251256239323,0.01256281407029915,0.0037688442210897454,0.0025125628140598307,0.015494137353368954,0.0008375209380199434,0.0020938023450498586,0.006281407035149575,0.005443886097129632,0.0004187604690099717,0.0251256281405983,0.004187604690099717,0.0004187604690099717,0.005862646566139604,0.0033500837520797737,0.0033500837520797737,0.0008375209380199434,0.01256281407029915,0.007956448911189462,0.0016750418760398868,0.0016750418760398868,0.0,0.0016750418760398868,0.0
sitting on,0.0,0.1482608695645728,0.0,0.003913043478243857,0.0,0.06826086956492061,0.006521739130406427,0.0008695652173875236,0.003478260869550094,0.0021739130434688093,0.04173913043460113,0.5091304347803951,0.0,0.0021739130434688093,0.07999999999965218,0.0030434782608563327,0.04173913043460113,0.011304347826037807,0.0004347826086937618,0.0008695652173875236,0.008695652173875237,0.0,0.0,0.0,0.0026086956521625708,0.0026086956521625708,0.0,0.0013043478260812854,0.02434782608685066,0.0,0.0030434782608563327,0.0004347826086937618,0.0008695652173875236,0.0,0.003913043478243857,0.0008695652173875236,0.0,0.019999999999913046,0.0013043478260812854,0.0,0.0,0.0030434782608563327,0.0004347826086937618,0.0004347826086937618,0.0013043478260812854,0.0,0.0,0.0,0.0004347826086937618,0.0,0.0004347826086937618
wears,0.0,0.0021523891519494086,0.0073181231166279895,0.9595350839390464,0.0004304778303898817,0.0021523891519494086,0.0,0.0008609556607797634,0.0004304778303898817,0.0017219113215595269,0.0,0.0,0.013775290572476215,0.0,0.0004304778303898817,0.0,0.0030133448127291716,0.0,0.0,0.0025828669823392903,0.0004304778303898817,0.0004304778303898817,0.0,0.0,0.0,0.0004304778303898817,0.0,0.0,0.0,0.0,0.0012914334911696451,0.0,0.0004304778303898817,0.0,0.0,0.0,0.0,0.0008609556607797634,0.0,0.0,0.0,0.0,0.0004304778303898817,0.0,0.0004304778303898817,0.0,0.0,0.0,0.0008609556607797634,0.0,0.0
under,0.0,0.08739002932500065,0.008211143694966503,0.0,0.024633431084899512,0.014076246334228293,0.05043988269765138,0.034604105571644554,0.018181818181711544,0.0609970674483226,0.008211143694966503,0.0011730205278523576,0.0,0.4785923753637619,0.0023460410557047152,0.01994134897349008,0.0,0.02170087976526862,0.008797653958892683,0.019354838709563903,0.0,0.0011730205278523576,0.0,0.03636363636342309,0.005865102639261789,0.0046920821114094305,0.00527859237533561,0.0,0.008797653958892683,0.00527859237533561,0.008211143694966503,0.0035190615835570733,0.0,0.0023460410557047152,0.0017595307917785367,0.0005865102639261788,0.0035190615835570733,0.014076246334228293,0.0029325513196308945,0.0029325513196308945,0.004105571847483252,0.0,0.0005865102639261788,0.0011730205278523576,0.014662756598154471,0.0035190615835570733,0.0011730205278523576,0.0046920821114094305,0.0,0.0011730205278523576,0.0029325513196308945
riding,0.0,0.024869866974986294,0.0,0.002313475997673144,0.0,0.007518796992437717,0.001156737998836572,0.000578368999418286,0.000578368999418286,0.002313475997673144,0.000578368999418286,0.008097165991856003,0.0,0.0,0.8999421630948529,0.0,0.03875072296102516,0.0,0.0,0.002313475997673144,0.000578368999418286,0.0,0.0,0.0,0.002313475997673144,0.0017351069982548578,0.0,0.0,0.001156737998836572,0.0,0.000578368999418286,0.000578368999418286,0.001156737998836572,0.0,0.0,0.0,0.0,0.0,0.0017351069982548578,0.0,0.0,0.001156737998836572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in front of,0.0,0.06583072100261889,0.003134796238219947,0.0,0.020376175548429652,0.027429467084424536,0.19278996865052675,0.007053291535994881,0.10188087774214828,0.009404388714659841,0.009404388714659841,0.003918495297774933,0.0,0.04310344827552427,0.003918495297774933,0.3354231974895343,0.007836990595549867,0.030564263322644482,0.009404388714659841,0.0007836990595549867,0.0007836990595549867,0.003918495297774933,0.0,0.020376175548429652,0.014106583071989762,0.007053291535994881,0.003134796238219947,0.0,0.0,0.006269592476439894,0.014890282131544747,0.003134796238219947,0.004702194357329921,0.003134796238219947,0.0007836990595549867,0.004702194357329921,0.0015673981191099734,0.003134796238219947,0.004702194357329921,0.0023510971786649603,0.0,0.0007836990595549867,0.0,0.007836990595549867,0.0015673981191099734,0.010971786833769814,0.0023510971786649603,0.0015673981191099734,0.0015673981191099734,0.0,0.0023510971786649603
standing on,0.0,0.052519517387845854,0.016323633782708846,0.007806955287382492,0.0,0.0766501064579372,0.022001419446259753,0.0,0.007806955287382492,0.0049680624556070405,0.007097232079438629,0.03335699077336156,0.0,0.0,0.04116394606074405,0.0028388928317754514,0.41944641589482295,0.020581973030372024,0.0,0.004258339247663177,0.19588360539250615,0.0014194464158877257,0.0,0.0,0.004258339247663177,0.0014194464158877257,0.0007097232079438629,0.0014194464158877257,0.007097232079438629,0.0007097232079438629,0.0007097232079438629,0.0,0.0014194464158877257,0.0,0.0,0.0028388928317754514,0.0,0.010645848119157943,0.0,0.0,0.0,0.04613200851635109,0.0,0.0007097232079438629,0.0007097232079438629,0.006387508871494766,0.0,0.0,0.0007097232079438629,0.0,0.0
at,0.0,0.06408544726216174,0.004005340453885109,0.0,0.0,0.04138851802347946,0.03604806408496598,0.0,0.005340453938513479,0.005340453938513479,0.006675567423141848,0.012016021361655327,0.0013351134846283697,0.018691588784797174,0.0013351134846283697,0.014686248330912066,0.050734312415878044,0.6328437917138472,0.004005340453885109,0.0,0.03738317756959435,0.0013351134846283697,0.0,0.0,0.0026702269692567395,0.0,0.0013351134846283697,0.009345794392398587,0.008010680907770218,0.0026702269692567395,0.0,0.009345794392398587,0.0013351134846283697,0.0013351134846283697,0.0,0.005340453938513479,0.0,0.0026702269692567395,0.0,0.004005340453885109,0.0026702269692567395,0.009345794392398587,0.0,0.0026702269692567395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attached to,0.0,0.3424821002345766,0.00477326968968051,0.0,0.22911694510466446,0.0059665871121006376,0.014319809069041529,0.002386634844840255,0.003579952267260382,0.008353221956940892,0.008353221956940892,0.002386634844840255,0.0,0.007159904534520764,0.0,0.0059665871121006376,0.003579952267260382,0.0,0.12410501193169327,0.0011933174224201275,0.0,0.00477326968968051,0.007159904534520764,0.011933174224201275,0.0,0.0,0.044152744629544716,0.0,0.0,0.0,0.0011933174224201275,0.0011933174224201275,0.0,0.008353221956940892,0.0,0.0011933174224201275,0.002386634844840255,0.0,0.02744630071566293,0.016706443913881784,0.08472553699182905,0.0,0.0,0.002386634844840255,0.0011933174224201275,0.003579952267260382,0.013126491646621403,0.0011933174224201275,0.0,0.003579952267260382,0.0
carrying,0.0,0.00727802037835112,0.008733624454021344,0.03202328966474493,0.001455604075670224,0.0,0.008733624454021344,0.010189228529691568,0.004366812227010672,0.23726346433424653,0.0,0.001455604075670224,0.0,0.011644832605361793,0.004366812227010672,0.0,0.001455604075670224,0.0,0.0,0.6535662299759306,0.0,0.0,0.0,0.0,0.001455604075670224,0.002911208151340448,0.0,0.0,0.0,0.002911208151340448,0.004366812227010672,0.001455604075670224,0.001455604075670224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001455604075670224,0.0,0.0,0.0,0.0,0.0,0.0,0.001455604075670224,0.0,0.0
