,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
above,0,0.7336683,0.005025126,0,0.00963149,0.02638191,0.041876048,0.002512563,0.036013402,0.004187605,0.10427136,0.002512563,0,0.005025126,0.006700167,0,0.000837521,0,0,0,0.00041876,0.01758794,0,0.001256281,0,0.00041876,0.00041876,0,0,0,0.00041876,0,0,0.00041876,0.00041876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitting on,0,0.52869564,0,0.003913044,0,0.09304348,0.01,0.000869565,0.001304348,0.002608696,0,0.33695653,0,0.000434783,0.016956521,0,0.002173913,0.001739131,0,0.000434783,0,0,0,0,0.000869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wears,0,0.009040034,0.009040034,0.97546273,0,0.001291434,0.000430478,0.002152389,0,0.001291434,0,0,0,0,0,0,0,0,0,0.001291434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
under,0,0.27272728,0.034017596,0,0.036950145,0.017008798,0.14369501,0.035190616,0.031085044,0.100879766,0.001759531,0,0,0.3079179,0.001173021,0.004692082,0,0.004105572,0,0,0,0.00058651,0,0.006451613,0,0,0,0,0,0.00058651,0.00058651,0.00058651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riding,0,0.5633314,0,0.003470214,0,0.006362059,0.001735107,0.001156738,0.000578369,0.002313476,0,0,0,0,0.42105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in front of,0,0.20141065,0.007053291,0,0.011755486,0.037617553,0.45689654,0.010971786,0.110501565,0.014106583,0.001567398,0.002351097,0,0.021943573,0.002351097,0.09874608,0,0.007836991,0,0,0,0,0,0.004702194,0.003134796,0.001567398,0,0,0,0.003134796,0,0,0.002351097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
standing on,0,0.68346345,0.016323633,0.012775018,0,0.14194465,0.031227821,0,0.002838893,0.005677786,0,0.006387509,0,0,0.009936125,0.000709723,0.05961675,0,0,0,0.026969481,0.000709723,0,0,0,0.000709723,0,0,0,0.000709723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at,0,0.3164219,0.013351135,0.001335114,0,0.03471295,0.19092123,0,0.006675568,0.008010681,0,0.012016022,0,0.002670227,0,0.001335114,0,0.40987983,0,0,0.001335114,0,0,0,0,0,0,0,0,0,0,0,0.001335114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
attached to,0,0.76610976,0.007159905,0,0.17661098,0.007159905,0.013126492,0.007159905,0.00477327,0.00954654,0.001193318,0,0,0.002386635,0,0,0,0,0.00477327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carrying,0,0.06404658,0.036390103,0.03930131,0,0,0.011644833,0.016011644,0.007278021,0.5152838,0,0.002911208,0,0.007278021,0.002911208,0,0,0,0,0.29694322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walking on,0,0.82253087,0.00617284,0,0.00154321,0.016975308,0.00308642,0,0,0,0,0,0,0.00154321,0,0,0.00154321,0,0,0,0.14660494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
over,0,0.5417515,0.018329939,0.00203666,0.020366598,0.030549899,0.06517312,0.00814664,0.048879836,0.01629328,0.08350305,0.00203666,0,0.00610998,0.00407332,0,0,0.00203666,0,0,0,0.14256619,0,0,0,0,0,0,0,0,0.00610998,0,0,0,0.00203666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belonging to,0,0.18034993,0.001345895,0,0.8129206,0,0.00269179,0,0.00269179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for,0,0.46892655,0.033898305,0,0.053672317,0.008474576,0.12429378,0.06214689,0.048022598,0.076271184,0.014124294,0,0,0.04519774,0,0.005649718,0,0,0,0,0,0.008474576,0,0.050847456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
looking at,0,0.14899713,0.020057306,0.00286533,0.00286533,0.028653296,0.2636103,0.020057306,0.014326648,0.21776505,0,0,0,0.00286533,0.017191976,0,0,0.014326648,0,0,0,0,0,0,0.074498564,0.045845274,0,0,0,0.017191976,0.008595988,0,0.100286536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
watching,0,0.1377551,0.00255102,0.012755103,0.005102041,0.007653061,0.18877551,0.028061224,0.091836736,0.06887755,0,0,0,0,0.010204081,0,0,0,0,0,0,0,0,0,0.06377551,0.38265306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging from,0,0.8722359,0.012285012,0,0.00982801,0.027027028,0.017199017,0,0.004914005,0,0,0,0,0.004914005,0,0,0,0,0.002457002,0,0,0,0,0,0,0,0.049140047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parked on,0,0.9828767,0,0,0,0,0.010273973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laying on,0,0.9101796,0.008982036,0.005988024,0,0.023952097,0.017964073,0.008982036,0,0.008982036,0,0.01497006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eating,0,0.09467456,0.04733728,0.00295858,0,0.01183432,0.03846154,0.053254437,0.00295858,0.32840237,0,0,0,0,0,0,0.00295858,0.00295858,0,0,0,0,0,0,0.00295858,0,0,0,0,0.4112426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and,0,0.125,0.097222224,0.023148147,0.00462963,0.023148147,0.36574075,0.17592593,0.037037037,0.055555556,0.00462963,0.00462963,0,0.009259259,0.009259259,0,0,0,0,0,0,0.009259259,0,0,0.00462963,0.00462963,0,0,0,0,0.046296295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
covering,0,0.8436214,0.057613168,0,0.012345679,0.004115226,0.03292181,0,0.012345679,0,0.004115226,0,0,0,0,0,0,0,0,0,0,0.020576132,0,0,0,0,0,0,0,0,0,0.012345679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
using,0,0.22624435,0.022624435,0.049773756,0,0,0.013574661,0.004524887,0.004524887,0.3484163,0,0.018099548,0,0.009049774,0,0,0,0,0,0,0,0,0,0,0.013574661,0,0,0,0,0,0,0,0.28959277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
between,0,0.30555555,0.060185187,0,0.009259259,0.009259259,0.4722222,0.009259259,0.083333336,0.00462963,0,0,0,0.009259259,0,0.009259259,0,0,0.009259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013888889,0.00462963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
covered in,0,0.21428572,0.19387755,0,0.015306123,0.2857143,0.020408163,0.020408163,0.020408163,0,0,0,0,0.005102041,0.005102041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005102041,0,0,0.21428572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
along,0,0.4516129,0,0,0,0.077419356,0.38709676,0,0.051612902,0.025806451,0,0,0,0,0,0.006451613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
part of,0,0.556338,0,0,0.38732395,0.014084507,0.02112676,0.007042253,0.014084507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lying on,0,0.8882353,0,0,0,0.08235294,0.023529412,0,0,0,0,0.005882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
on back of,0,0.8707865,0,0,0.101123594,0.005617978,0.011235955,0,0,0,0,0,0,0,0.011235955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to,0,0.751634,0.019607844,0,0.06535948,0.08496732,0.045751635,0.006535948,0.006535948,0.006535948,0,0,0,0.006535948,0,0,0,0,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mounted on,0,0.9881657,0,0,0.00591716,0,0,0,0,0,0,0,0,0,0.00591716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walking in,0,0.54867256,0,0.061946902,0,0.20353982,0.123893805,0,0,0,0,0,0,0,0,0,0.008849558,0,0,0,0.053097345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
across,0,0.5487805,0,0,0.024390243,0.085365854,0.2804878,0,0.024390243,0,0.024390243,0,0,0,0,0,0,0.012195122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
against,0,0.17391305,0,0,0.028985508,0.14492753,0.4057971,0.028985508,0.08695652,0.028985508,0,0,0,0.014492754,0,0.072463766,0,0.014492754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
from,0,0.75510204,0.010204081,0,0.06122449,0.030612245,0.06122449,0.010204081,0,0,0,0,0,0,0,0,0,0,0.010204081,0,0,0,0,0.020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040816326,0,0,0,0,0,0
growing on,0,0.8613861,0,0,0.00990099,0,0.11881188,0,0.00990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
painted on,0,0.8039216,0,0,0,0.14705883,0.029411765,0,0.019607844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
made of,0,0.24324325,0.5135135,0,0.027027028,0.054054055,0.13513513,0.027027028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
playing,0,0.20689656,0.06896552,0.06896552,0,0,0.27586207,0,0.03448276,0.1724138,0,0.06896552,0,0,0,0,0.03448276,0,0,0,0,0,0,0,0.03448276,0.03448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
says,0,0.083333336,0.5,0,0,0,0,0.41666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flying in,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
