,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
watching,0,0.00255102,0,0.005102041,0.005102041,0,0.020408163,0.010204081,0.033163264,0.017857144,0,0.00255102,0,0,0.028061224,0.00255102,0.015306123,0,0,0.00255102,0,0,0.00255102,0,0.18622449,0.60714287,0,0,0,0.00255102,0.017857144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017857144,0,0.020408163
hanging from,0,0.1891892,0.012285012,0,0.007371008,0.02948403,0.00982801,0,0.002457002,0,0.007371008,0,0,0.007371008,0,0.012285012,0.002457002,0,0.041769043,0,0,0.017199017,0.002457002,0,0,0,0.44717446,0,0,0,0,0.03685504,0,0,0,0,0.002457002,0,0.03194103,0.002457002,0.017199017,0,0,0.007371008,0.004914005,0.07862408,0.002457002,0.00982801,0,0,0.017199017
parked on,0,0.0890411,0,0,0,0,0,0,0.003424658,0,0,0,0,0,0,0,0,0,0,0,0,0.003424658,0,0,0,0,0,0.89726025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003424658,0,0.003424658,0,0,0,0,0,0,0
laying on,0,0.15568863,0.005988024,0,0,0.035928145,0.008982036,0.008982036,0,0.005988024,0.047904193,0.056886226,0,0,0.029940119,0,0.032934133,0.035928145,0,0,0.047904193,0,0,0,0.002994012,0,0.002994012,0,0.29341316,0.002994012,0,0,0,0,0,0,0.002994012,0.20958084,0,0,0,0.002994012,0.002994012,0,0,0,0,0,0,0,0.005988024
eating,0,0.00591716,0.01183432,0.00295858,0,0.020710059,0.00887574,0.00887574,0.00295858,0.14497042,0,0,0,0,0,0.00295858,0.0295858,0.00295858,0,0,0,0,0,0,0.0147929,0,0,0,0,0.7218935,0,0,0,0,0,0,0,0.00295858,0,0,0,0,0,0,0,0,0,0,0,0,0.01775148
and,0,0.027777778,0,0.00462963,0,0.013888889,0.106481485,0.12037037,0.037037037,0.032407407,0.009259259,0.00462963,0.00462963,0.009259259,0.013888889,0.018518519,0,0.013888889,0,0.009259259,0,0.00462963,0,0,0.083333336,0.055555556,0.00462963,0,0,0,0.2962963,0.009259259,0,0.013888889,0,0,0.00462963,0.013888889,0.00462963,0.00462963,0,0,0,0.00462963,0.00462963,0,0,0.009259259,0.009259259,0.027777778,0.023148147
covering,0,0.08230453,0.037037037,0,0.016460905,0.004115226,0.008230452,0,0.012345679,0,0.004115226,0,0,0.016460905,0,0.012345679,0,0.004115226,0,0.004115226,0,0.028806584,0,0.020576132,0,0,0.012345679,0,0,0,0.004115226,0.6502058,0,0,0.028806584,0.004115226,0,0.008230452,0,0,0,0,0,0,0.016460905,0.008230452,0,0.008230452,0,0.004115226,0.004115226
using,0,0.03167421,0.009049774,0.013574661,0,0,0,0,0,0.1402715,0,0.018099548,0,0.013574661,0.06334842,0,0.08144797,0.004524887,0,0.03167421,0,0,0,0,0.07239819,0,0,0.004524887,0,0,0,0,0.47058824,0,0,0,0,0.004524887,0,0,0,0,0,0.004524887,0,0,0,0,0.004524887,0.004524887,0.027149322
between,0,0.060185187,0.027777778,0,0.00462963,0.013888889,0.2361111,0.009259259,0.097222224,0,0,0,0,0.013888889,0.00462963,0.097222224,0.037037037,0,0.027777778,0,0,0,0,0.027777778,0.013888889,0,0.009259259,0.00462963,0,0,0.018518519,0.009259259,0,0.16203703,0.00462963,0.018518519,0,0,0.00462963,0,0.018518519,0,0,0.027777778,0.00462963,0,0,0.027777778,0,0,0.018518519
covered in,0,0,0.030612245,0,0.005102041,0.091836736,0.005102041,0.07653061,0.010204081,0,0,0,0,0.015306123,0.005102041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05612245,0,0,0.6479592,0.015306123,0,0.005102041,0,0,0,0,0,0,0,0.005102041,0,0.030612245,0,0,0
along,0,0.12258065,0,0,0,0.025806451,0.058064517,0,0.07096774,0.006451613,0.006451613,0,0,0,0,0.058064517,0.025806451,0,0,0,0.019354839,0,0,0,0,0,0.019354839,0.038709678,0,0,0,0,0,0.032258064,0.045161292,0.38064516,0,0,0,0.006451613,0,0,0.032258064,0,0.006451613,0.006451613,0,0,0.019354839,0.019354839,0
part of,0,0.28873238,0,0,0.4225352,0.007042253,0,0,0.02112676,0,0,0,0,0.007042253,0,0,0,0,0.04225352,0,0,0,0.056338027,0.007042253,0.03521127,0,0,0,0,0,0.028169014,0.007042253,0,0,0,0,0,0,0,0.014084507,0,0,0,0.007042253,0,0.049295776,0,0,0,0,0.007042253
lying on,0,0.1882353,0,0,0,0.07058824,0,0.011764706,0,0.005882353,0.01764706,0.03529412,0,0,0.029411765,0,0.023529412,0,0,0,0.05882353,0.029411765,0,0,0.029411765,0,0,0.005882353,0.2764706,0,0.005882353,0,0,0,0,0,0,0.2,0,0.005882353,0,0,0,0,0,0,0,0,0,0,0.005882353
