,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
above,0.0,0.33207705192490755,0.0004187604690099717,0.0008375209380199434,0.013819095477329067,0.025963149078618245,0.02680067001663819,0.0016750418760398868,0.03350083752079774,0.0012562814070299153,0.2257118927963747,0.025963149078618245,0.0,0.006281407035149575,0.03643216080386754,0.005443886097129632,0.0251256281405983,0.004187604690099717,0.006700167504159547,0.0004187604690099717,0.0016750418760398868,0.07370184254575501,0.0012562814070299153,0.004187604690099717,0.0016750418760398868,0.0008375209380199434,0.008375209380199434,0.010050251256239323,0.014237855946339037,0.0033500837520797737,0.0012562814070299153,0.013819095477329067,0.0008375209380199434,0.0016750418760398868,0.006281407035149575,0.004606365159109688,0.0008375209380199434,0.02470686767158833,0.004606365159109688,0.0004187604690099717,0.005443886097129632,0.005443886097129632,0.004187604690099717,0.0004187604690099717,0.013819095477329067,0.007956448911189462,0.0016750418760398868,0.0016750418760398868,0.0,0.008375209380199434,0.0
sitting on,0.0,0.14478260869502269,0.0,0.003913043478243857,0.0,0.06826086956492061,0.006521739130406427,0.0008695652173875236,0.003913043478243857,0.0026086956521625708,0.042173913043294896,0.5143478260847203,0.0,0.001739130434775047,0.0808695652170397,0.003913043478243857,0.03956521739113233,0.01217391304342533,0.0004347826086937618,0.0008695652173875236,0.008260869565181475,0.0,0.0,0.0,0.0043478260869376185,0.001739130434775047,0.0,0.0013043478260812854,0.022608695652075614,0.0,0.001739130434775047,0.0004347826086937618,0.0008695652173875236,0.0,0.003913043478243857,0.0008695652173875236,0.0,0.018260869565137998,0.0008695652173875236,0.0004347826086937618,0.0,0.0052173913043251415,0.0,0.0004347826086937618,0.0008695652173875236,0.0,0.0,0.0004347826086937618,0.0004347826086937618,0.0,0.0
wears,0.0,0.0030133448127291716,0.007748600947017871,0.9560912612959274,0.0,0.0021523891519494086,0.0,0.0017219113215595269,0.0004304778303898817,0.0017219113215595269,0.0,0.0,0.016358157554815504,0.0,0.0004304778303898817,0.0,0.0025828669823392903,0.0,0.0,0.0025828669823392903,0.0004304778303898817,0.0004304778303898817,0.0,0.0,0.0,0.0004304778303898817,0.0,0.0,0.0,0.0,0.0017219113215595269,0.0,0.0004304778303898817,0.0,0.0,0.0,0.0,0.0004304778303898817,0.0,0.0,0.0,0.0,0.0004304778303898817,0.0,0.0004304778303898817,0.0,0.0,0.0,0.0004304778303898817,0.0,0.0
under,0.0,0.08387096774144358,0.006451612903187968,0.0,0.02873900293238276,0.013489736070302114,0.04516129032231577,0.036950146627349266,0.018768328445637722,0.06334310850402732,0.007624633431040325,0.0011730205278523576,0.0,0.48504398826694994,0.0023460410557047152,0.022287390029194797,0.0,0.019354838709563903,0.006451612903187968,0.01583577712600683,0.0,0.0011730205278523576,0.0,0.036950146627349266,0.00527859237533561,0.00527859237533561,0.00527859237533561,0.0,0.006451612903187968,0.004105571847483252,0.006451612903187968,0.0035190615835570733,0.0,0.0011730205278523576,0.0017595307917785367,0.0011730205278523576,0.0035190615835570733,0.013489736070302114,0.0011730205278523576,0.0046920821114094305,0.004105571847483252,0.0,0.0005865102639261788,0.0011730205278523576,0.016422287389933007,0.0029325513196308945,0.0005865102639261788,0.00527859237533561,0.0023460410557047152,0.005865102639261789,0.0023460410557047152
riding,0.0,0.01850780798138515,0.0,0.0028918449970914296,0.0,0.007518796992437717,0.0017351069982548578,0.0,0.000578368999418286,0.002313475997673144,0.001156737998836572,0.009832272990110861,0.0,0.0,0.9063042220884541,0.0,0.03585887796393373,0.0,0.0,0.0028918449970914296,0.000578368999418286,0.0,0.0,0.0,0.002313475997673144,0.002313475997673144,0.0,0.0,0.001156737998836572,0.0,0.0,0.000578368999418286,0.001156737998836572,0.0,0.0,0.0,0.0,0.0,0.001156737998836572,0.0,0.0,0.001156737998836572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in front of,0.0,0.06739811912172886,0.0023510971786649603,0.0,0.018808777429319683,0.028213166143979524,0.20376175548429656,0.005485893416884907,0.10266457680170327,0.008620689655104855,0.010188087774214826,0.004702194357329921,0.0,0.04388714733507926,0.003918495297774933,0.3377742946681993,0.005485893416884907,0.030564263322644482,0.008620689655104855,0.0023510971786649603,0.0007836990595549867,0.003918495297774933,0.0,0.018025078369764694,0.012539184952879787,0.007053291535994881,0.003918495297774933,0.0,0.0,0.004702194357329921,0.013322884012434776,0.005485893416884907,0.004702194357329921,0.0015673981191099734,0.0007836990595549867,0.003134796238219947,0.0015673981191099734,0.003134796238219947,0.004702194357329921,0.003134796238219947,0.0,0.0007836990595549867,0.0,0.007053291535994881,0.0007836990595549867,0.008620689655104855,0.0015673981191099734,0.0007836990595549867,0.0,0.0007836990595549867,0.0023510971786649603
standing on,0.0,0.055358410219621304,0.015613910574764984,0.009226401703270218,0.0,0.08090844570560037,0.02271114265420361,0.0007097232079438629,0.005677785663550903,0.006387508871494766,0.0049680624556070405,0.029808374733642243,0.0,0.0,0.04755145493223881,0.0021291696238315886,0.41944641589482295,0.021291696238315887,0.0,0.0028388928317754514,0.18736692689717985,0.0014194464158877257,0.0,0.0,0.0049680624556070405,0.0014194464158877257,0.0007097232079438629,0.0014194464158877257,0.006387508871494766,0.0007097232079438629,0.0007097232079438629,0.0,0.0014194464158877257,0.0014194464158877257,0.0,0.0021291696238315886,0.0,0.010645848119157943,0.0,0.0,0.0,0.04542228530840722,0.0,0.0014194464158877257,0.0007097232079438629,0.006387508871494766,0.0,0.0,0.0007097232079438629,0.0,0.0
at,0.0,0.06275033377753338,0.005340453938513479,0.0,0.0,0.044058744992736196,0.04138851802347946,0.0,0.005340453938513479,0.006675567423141848,0.004005340453885109,0.010680907877026958,0.0,0.020026702269425548,0.0013351134846283697,0.012016021361655327,0.04806408544662131,0.6328437917138472,0.0026702269692567395,0.0,0.04272363150810783,0.0013351134846283697,0.0,0.0,0.0026702269692567395,0.0,0.0013351134846283697,0.009345794392398587,0.008010680907770218,0.0013351134846283697,0.0013351134846283697,0.008010680907770218,0.0013351134846283697,0.0013351134846283697,0.0,0.0013351134846283697,0.0,0.0013351134846283697,0.0,0.004005340453885109,0.0026702269692567395,0.005340453938513479,0.0026702269692567395,0.0026702269692567395,0.0,0.0,0.0,0.0,0.0,0.004005340453885109,0.0
attached to,0.0,0.3508353221915175,0.003579952267260382,0.0,0.22434367541498396,0.0059665871121006376,0.015513126491461658,0.002386634844840255,0.003579952267260382,0.00954653937936102,0.008353221956940892,0.002386634844840255,0.0,0.007159904534520764,0.0011933174224201275,0.003579952267260382,0.002386634844840255,0.0,0.12649164677653352,0.0,0.0,0.00477326968968051,0.007159904534520764,0.013126491646621403,0.0,0.0,0.041766109784704464,0.0,0.0,0.0,0.0,0.002386634844840255,0.0,0.007159904534520764,0.0,0.0011933174224201275,0.002386634844840255,0.0,0.02744630071566293,0.017899761336301914,0.07637231503488816,0.0,0.0,0.003579952267260382,0.003579952267260382,0.002386634844840255,0.013126491646621403,0.002386634844840255,0.0,0.0059665871121006376,0.0
carrying,0.0,0.00727802037835112,0.008733624454021344,0.03202328966474493,0.0,0.0,0.008733624454021344,0.016011644832372465,0.002911208151340448,0.24745269286393812,0.0,0.001455604075670224,0.0,0.013100436681032017,0.002911208151340448,0.0,0.004366812227010672,0.0,0.0,0.6346433769922177,0.0,0.0,0.0,0.0,0.001455604075670224,0.002911208151340448,0.0,0.0,0.0,0.002911208151340448,0.004366812227010672,0.001455604075670224,0.001455604075670224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001455604075670224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004366812227010672,0.0
