,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
mounted on,0.0,0.94312796204061,0.0,0.0,0.02369668246333191,0.0,0.009478672985332764,0.0,0.004739336492666382,0.0,0.0,0.0,0.0,0.009478672985332764,0.004739336492666382,0.0,0.0,0.0,0.004739336492666382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
walking in,0.0,0.5609756097287328,0.0,0.029268292681499105,0.0,0.22439024389149315,0.024390243901249255,0.0,0.004878048780249851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009756097560499702,0.0,0.0,0.0,0.08780487804449733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05853658536299821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
across,0.0,0.5044642856917649,0.0,0.0,0.0,0.03124999999860491,0.40624999998186384,0.0,0.022321428570432077,0.0,0.013392857142259247,0.0,0.0,0.004464285714086416,0.0,0.0,0.0,0.004464285714086416,0.0,0.0,0.004464285714086416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428172832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
against,0.0,0.32748538009780787,0.011695906432064567,0.0,0.01754385964809685,0.1052631578885811,0.350877192961937,0.0058479532160322836,0.0701754385923874,0.0058479532160322836,0.0058479532160322836,0.0,0.0,0.0,0.0,0.04093567251222598,0.0,0.011695906432064567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011695906432064567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0350877192961937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
from,0.0,0.5672514619551314,0.04678362572825827,0.0,0.09356725145651654,0.01754385964809685,0.08187134502445197,0.0058479532160322836,0.029239766080161416,0.0,0.011695906432064567,0.0,0.0,0.023391812864129134,0.0,0.0,0.0,0.0058479532160322836,0.0058479532160322836,0.0,0.0,0.0,0.0,0.0058479532160322836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1052631578885811,0.0,0.0,0.0,0.0,0.0,0.0
growing on,0.0,0.7999999999466667,0.006666666666222221,0.0,0.046666666663555546,0.046666666663555546,0.059999999996,0.006666666666222221,0.03333333333111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
painted on,0.0,0.8399999999328,0.0,0.0,0.0,0.055999999995519995,0.03199999999744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00799999999936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06399999999488,0.0,0.0,0.0,0.0
made of,0.0,0.0777777777691358,0.4999999999444445,0.0,0.0,0.044444444439506174,0.05555555554938272,0.0999999999888889,0.011111111109876544,0.011111111109876544,0.0,0.0,0.0,0.011111111109876544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111109876544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1777777777580247,0.0,0.0,0.0
playing,0.0,0.1648351648170511,0.02197802197560681,0.04395604395121362,0.0,0.1648351648170511,0.1648351648170511,0.010989010987803405,0.08791208790242724,0.1648351648170511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307691462384,0.03296703296341022,0.0,0.0,0.0,0.03296703296341022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03296703296341022,0.0,0.0
says,0.0,0.24137931026159337,0.48275862052318674,0.0,0.0,0.0,0.0,0.24137931026159337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03448275860879905,0.0
flying in,0.0,0.7499999981250001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249999999375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
